"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2015M06","Dublin - apartments","Base 2015=100","98.8"
"Residential Property Price Index","2015M06","Dublin City - houses","Base 2015=100","99.3"
"Residential Property Price Index","2015M06","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.4"
"Residential Property Price Index","2015M06","Fingal - houses","Base 2015=100","99.9"
"Residential Property Price Index","2015M06","South Dublin - houses","Base 2015=100","100"
"Residential Property Price Index","2015M06","National excluding Dublin - all residential properties","Base 2015=100","100.1"
"Residential Property Price Index","2015M06","National excluding Dublin - houses","Base 2015=100","100.2"
"Residential Property Price Index","2015M06","National excluding Dublin - apartments","Base 2015=100","99"
"Residential Property Price Index","2015M06","Border - houses","Base 2015=100","98.4"
"Residential Property Price Index","2015M06","Midland - houses","Base 2015=100","96.9"
"Residential Property Price Index","2015M06","West - houses","Base 2015=100","100.5"
"Residential Property Price Index","2015M06","Mid-East - houses","Base 2015=100","99.7"
"Residential Property Price Index","2015M06","Mid-West - houses","Base 2015=100","100.7"
"Residential Property Price Index","2015M06","South-East - houses","Base 2015=100","99.6"
"Residential Property Price Index","2015M06","South-West - houses","Base 2015=100","99.4"
"Residential Property Price Index","2015M07","National - all residential properties","Base 2015=100","100.8"
"Residential Property Price Index","2015M07","National - houses","Base 2015=100","100.7"
"Residential Property Price Index","2015M07","National - apartments","Base 2015=100","99.7"
"Residential Property Price Index","2015M07","Dublin - all residential properties","Base 2015=100","100.4"
"Residential Property Price Index","2015M07","Dublin - houses","Base 2015=100","100"
"Residential Property Price Index","2015M07","Dublin - apartments","Base 2015=100","100.6"
"Residential Property Price Index","2015M07","Dublin City - houses","Base 2015=100","99.1"
"Residential Property Price Index","2015M07","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.6"
"Residential Property Price Index","2015M07","Fingal - houses","Base 2015=100","100.1"
"Residential Property Price Index","2015M07","South Dublin - houses","Base 2015=100","99.5"
"Residential Property Price Index","2015M07","National excluding Dublin - all residential properties","Base 2015=100","101.2"
"Residential Property Price Index","2015M07","National excluding Dublin - houses","Base 2015=100","101.3"
"Residential Property Price Index","2015M07","National excluding Dublin - apartments","Base 2015=100","100"
"Residential Property Price Index","2015M07","Border - houses","Base 2015=100","99.8"
"Residential Property Price Index","2015M07","Midland - houses","Base 2015=100","98.1"
"Residential Property Price Index","2015M07","West - houses","Base 2015=100","101.2"
"Residential Property Price Index","2015M07","Mid-East - houses","Base 2015=100","100.9"
"Residential Property Price Index","2015M07","Mid-West - houses","Base 2015=100","102.1"
"Residential Property Price Index","2015M07","South-East - houses","Base 2015=100","101"
"Residential Property Price Index","2015M07","South-West - houses","Base 2015=100","100"
"Residential Property Price Index","2015M08","National - all residential properties","Base 2015=100","102"
"Residential Property Price Index","2015M08","National - houses","Base 2015=100","101.8"
"Residential Property Price Index","2015M08","National - apartments","Base 2015=100","100.8"
"Residential Property Price Index","2015M08","Dublin - all residential properties","Base 2015=100","101.4"
"Residential Property Price Index","2015M08","Dublin - houses","Base 2015=100","101"
"Residential Property Price Index","2015M08","Dublin - apartments","Base 2015=100","101.8"
"Residential Property Price Index","2015M08","Dublin City - houses","Base 2015=100","99.7"
"Residential Property Price Index","2015M08","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.9"
"Residential Property Price Index","2015M08","Fingal - houses","Base 2015=100","100.7"
"Residential Property Price Index","2015M08","South Dublin - houses","Base 2015=100","99.5"
"Residential Property Price Index","2015M08","National excluding Dublin - all residential properties","Base 2015=100","102.6"
"Residential Property Price Index","2015M08","National excluding Dublin - houses","Base 2015=100","102.6"
"Residential Property Price Index","2015M08","National excluding Dublin - apartments","Base 2015=100","102.9"
"Residential Property Price Index","2015M08","Border - houses","Base 2015=100","103"
"Residential Property Price Index","2015M08","Midland - houses","Base 2015=100","102"
"Residential Property Price Index","2015M08","West - houses","Base 2015=100","101.6"
"Residential Property Price Index","2015M08","Mid-East - houses","Base 2015=100","101.7"
"Residential Property Price Index","2015M08","Mid-West - houses","Base 2015=100","102.5"
"Residential Property Price Index","2015M08","South-East - houses","Base 2015=100","103"
"Residential Property Price Index","2015M08","South-West - houses","Base 2015=100","101.2"
"Residential Property Price Index","2015M09","National - all residential properties","Base 2015=100","102.4"
"Residential Property Price Index","2015M09","National - houses","Base 2015=100","102.2"
"Residential Property Price Index","2015M09","National - apartments","Base 2015=100","101.6"
"Residential Property Price Index","2015M09","Dublin - all residential properties","Base 2015=100","101.4"
"Residential Property Price Index","2015M09","Dublin - houses","Base 2015=100","100.9"
"Residential Property Price Index","2015M09","Dublin - apartments","Base 2015=100","102.7"
"Residential Property Price Index","2015M09","Dublin City - houses","Base 2015=100","99.3"
"Residential Property Price Index","2015M09","Dun Laoghaire-Rathdown - houses","Base 2015=100","100.3"
"Residential Property Price Index","2015M09","Fingal - houses","Base 2015=100","101"
"Residential Property Price Index","2015M09","South Dublin - houses","Base 2015=100","99.5"
"Residential Property Price Index","2015M09","National excluding Dublin - all residential properties","Base 2015=100","103.4"
"Residential Property Price Index","2015M09","National excluding Dublin - houses","Base 2015=100","103.3"
"Residential Property Price Index","2015M09","National excluding Dublin - apartments","Base 2015=100","104"
"Residential Property Price Index","2015M09","Border - houses","Base 2015=100","104.5"
"Residential Property Price Index","2015M09","Midland - houses","Base 2015=100","104.3"
"Residential Property Price Index","2015M09","West - houses","Base 2015=100","101.3"
"Residential Property Price Index","2015M09","Mid-East - houses","Base 2015=100","102.5"
"Residential Property Price Index","2015M09","Mid-West - houses","Base 2015=100","103.4"
"Residential Property Price Index","2015M09","South-East - houses","Base 2015=100","103.6"
"Residential Property Price Index","2015M09","South-West - houses","Base 2015=100","102.8"
"Residential Property Price Index","2015M10","National - all residential properties","Base 2015=100","103.5"
"Residential Property Price Index","2015M10","National - houses","Base 2015=100","103.2"
"Residential Property Price Index","2015M10","National - apartments","Base 2015=100","103.3"
"Residential Property Price Index","2015M10","Dublin - all residential properties","Base 2015=100","102.6"
"Residential Property Price Index","2015M10","Dublin - houses","Base 2015=100","101.9"
"Residential Property Price Index","2015M10","Dublin - apartments","Base 2015=100","105.3"
"Residential Property Price Index","2015M10","Dublin City - houses","Base 2015=100","100.5"
"Residential Property Price Index","2015M10","Dun Laoghaire-Rathdown - houses","Base 2015=100","100.4"
"Residential Property Price Index","2015M10","Fingal - houses","Base 2015=100","102.3"
"Residential Property Price Index","2015M10","South Dublin - houses","Base 2015=100","98.7"
"Residential Property Price Index","2015M10","National excluding Dublin - all residential properties","Base 2015=100","104.5"
"Residential Property Price Index","2015M10","National excluding Dublin - houses","Base 2015=100","104.5"
"Residential Property Price Index","2015M10","National excluding Dublin - apartments","Base 2015=100","104.4"
"Residential Property Price Index","2015M10","Border - houses","Base 2015=100","105.2"
"Residential Property Price Index","2015M10","Midland - houses","Base 2015=100","106.2"
"Residential Property Price Index","2015M10","West - houses","Base 2015=100","103"
"Residential Property Price Index","2015M10","Mid-East - houses","Base 2015=100","103.8"
"Residential Property Price Index","2015M10","Mid-West - houses","Base 2015=100","102.9"
"Residential Property Price Index","2015M10","South-East - houses","Base 2015=100","104.4"
"Residential Property Price Index","2015M10","South-West - houses","Base 2015=100","104.7"
"Residential Property Price Index","2015M11","National - all residential properties","Base 2015=100","103.2"
"Residential Property Price Index","2015M11","National - houses","Base 2015=100","103.3"
"Residential Property Price Index","2015M11","National - apartments","Base 2015=100","102"
"Residential Property Price Index","2015M11","Dublin - all residential properties","Base 2015=100","102.2"
"Residential Property Price Index","2015M11","Dublin - houses","Base 2015=100","102.3"
"Residential Property Price Index","2015M11","Dublin - apartments","Base 2015=100","102.1"
"Residential Property Price Index","2015M11","Dublin City - houses","Base 2015=100","101.3"
"Residential Property Price Index","2015M11","Dun Laoghaire-Rathdown - houses","Base 2015=100","102"
"Residential Property Price Index","2015M11","Fingal - houses","Base 2015=100","102.1"
"Residential Property Price Index","2015M11","South Dublin - houses","Base 2015=100","97.3"
"Residential Property Price Index","2015M11","National excluding Dublin - all residential properties","Base 2015=100","104.3"
"Residential Property Price Index","2015M11","National excluding Dublin - houses","Base 2015=100","104.3"
